50-0,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-1,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-2,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-3,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-4,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-5,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-6,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-7,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-8,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
50-9,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-0,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-1,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-2,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-3,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-4,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-5,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-6,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-7,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-8,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
100-9,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-0,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-1,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-2,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-3,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-4,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-5,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-6,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-7,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-8,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
150-9,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-0,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-1,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-2,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-3,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-4,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-5,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-6,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-7,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-8,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
200-9,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
250-0,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
250-1,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
250-2,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
250-3,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
250-4,(3.7266788943606333, -2.194367570218345),3.7266788943606333,-2.194367570218345
